ticker_y,ticker_x,exchange_y,exchange_x,pExchange_y,pEchange_x,lookback,pos
BARC,HSBA,SMART,SMART,LSE,LSE,200,100
AXP,V,SMART,SMART,NYSE,NYSE,400,100
V,MA,SMART,SMART,NYSE,NYSE,400,100
HWM,LMT,SMART,SMART,NYSE,NYSE,200,100
ADSK,PAYC,SMART,SMART,NYSE,NYSE,200,100
INTU,TYL,SMART,SMART,NASDAQ,NYSE,200,100
MA,PYPL,SMART,SMART,NYSE,NASDAQ,200,100
GOOG,GOOGL,SMART,SMART,NASDAQ,NASDAQ,200,100
GSK,HLN,SMART,SMART,LSE,LSE,400,100
BNZL,CPG,SMART,SMART,LSE,LSE,400,300
CPG,DCC,SMART,SMART,LSE,LSE,600,200
